Dates,INJCJC Index
1999-10-22,280
1999-10-29,285
1999-11-05,282
1999-11-12,281
1999-11-19,276
1999-11-26,288
1999-12-03,287
1999-12-10,272
1999-12-17,287
1999-12-24,268
1999-12-31,286
2000-01-07,298
2000-01-14,289
2000-01-21,284
2000-01-28,285
2000-02-04,312
2000-02-11,300
2000-02-18,283
2000-02-25,280
2000-03-03,286
2000-03-10,270
2000-03-17,271
2000-03-24,272
2000-03-31,266
2000-04-07,268
2000-04-14,259
2000-04-21,274
2000-04-28,291
2000-05-05,293
2000-05-12,276
2000-05-19,280
2000-05-26,280
2000-06-02,290
2000-06-09,284
2000-06-16,294
2000-06-23,296
2000-06-30,281
2000-07-07,293
2000-07-14,303
2000-07-21,300
2000-07-28,298
2000-08-04,306
2000-08-11,315
2000-08-18,318
2000-08-25,312
2000-09-01,301
2000-09-08,309
2000-09-15,311
2000-09-22,288
2000-09-29,292
2000-10-06,309
2000-10-13,299
2000-10-20,295
2000-10-27,301
2000-11-03,331
2000-11-10,318
2000-11-17,332
2000-11-24,356
2000-12-01,338
2000-12-08,321
2000-12-15,354
2000-12-22,364
2000-12-29,353
2001-01-05,337
2001-01-12,318
2001-01-19,343
2001-01-26,362
2001-02-02,376
2001-02-09,365
2001-02-16,358
2001-02-23,386
2001-03-02,384
2001-03-09,393
2001-03-16,393
2001-03-23,378
2001-03-30,388
2001-04-06,398
2001-04-13,383
2001-04-20,400
2001-04-27,406
2001-05-04,381
2001-05-11,390
2001-05-18,402
2001-05-25,405
2001-06-01,406
2001-06-08,411
2001-06-15,394
2001-06-22,381
2001-06-29,394
2001-07-06,401
2001-07-13,405
2001-07-20,398
2001-07-27,388
2001-08-03,401
2001-08-10,394
2001-08-17,402
2001-08-24,395
2001-08-31,402
2001-09-07,408
2001-09-14,395
2001-09-21,453
2001-09-28,517
2001-10-05,476
2001-10-12,482
2001-10-19,482
2001-10-26,483
2001-11-02,440
2001-11-09,428
2001-11-16,431
2001-11-23,491
2001-11-30,465
2001-12-07,393
2001-12-14,389
2001-12-21,416
2001-12-28,421
2002-01-04,397
2002-01-11,418
2002-01-18,405
2002-01-25,414
2002-02-01,404
2002-02-08,397
2002-02-15,397
2002-02-22,398
2002-03-01,392
2002-03-08,399
2002-03-15,392
2002-03-22,415
2002-03-29,479
2002-04-05,445
2002-04-12,442
2002-04-19,416
2002-04-26,414
2002-05-03,409
2002-05-10,413
2002-05-17,411
2002-05-24,403
2002-05-31,378
2002-06-07,388
2002-06-14,396
2002-06-21,388
2002-06-28,386
2002-07-05,391
2002-07-12,384
2002-07-19,379
2002-07-26,390
2002-08-02,388
2002-08-09,389
2002-08-16,399
2002-08-23,398
2002-08-30,394
2002-09-06,416
2002-09-13,412
2002-09-20,401
2002-09-27,409
2002-10-04,404
2002-10-11,405
2002-10-18,412
2002-10-25,409
2002-11-01,405
2002-11-08,400
2002-11-15,389
2002-11-22,390
2002-11-29,377
2002-12-06,425
2002-12-13,429
2002-12-20,394
2002-12-27,409
2003-01-03,393
2003-01-10,378
2003-01-17,402
2003-01-24,407
2003-01-31,413
2003-02-07,390
2003-02-14,420
2003-02-21,421
2003-02-28,436
2003-03-07,424
2003-03-14,430
2003-03-21,411
2003-03-28,436
2003-04-04,417
2003-04-11,434
2003-04-18,450
2003-04-25,444
2003-05-02,428
2003-05-09,417
2003-05-16,425
2003-05-23,419
2003-05-30,431
2003-06-06,429
2003-06-13,421
2003-06-20,408
2003-06-27,429
2003-07-04,433
2003-07-11,412
2003-07-18,403
2003-07-25,398
2003-08-01,401
2003-08-08,404
2003-08-15,398
2003-08-22,391
2003-08-29,407
2003-09-05,422
2003-09-12,394
2003-09-19,379
2003-09-26,387
2003-10-03,386
2003-10-10,376
2003-10-17,387
2003-10-24,379
2003-10-31,363
2003-11-07,371
2003-11-14,370
2003-11-21,354
2003-11-28,357
2003-12-05,367
2003-12-12,363
2003-12-19,354
2003-12-26,349
2004-01-02,356
2004-01-09,354
2004-01-16,362
2004-01-23,353
2004-01-30,376
2004-02-06,380
2004-02-13,356
2004-02-20,359
2004-02-27,348
2004-03-05,344
2004-03-12,338
2004-03-19,346
2004-03-26,340
2004-04-02,335
2004-04-09,355
2004-04-16,364
2004-04-23,339
2004-04-30,324
2004-05-07,329
2004-05-14,349
2004-05-21,342
2004-05-28,337
2004-06-04,355
2004-06-11,339
2004-06-18,354
2004-06-25,348
2004-07-02,326
2004-07-09,345
2004-07-16,355
2004-07-23,348
2004-07-30,341
2004-08-06,336
2004-08-13,332
2004-08-20,343
2004-08-27,352
2004-09-03,326
2004-09-10,331
2004-09-17,341
2004-09-24,351
2004-10-01,335
2004-10-08,338
2004-10-15,327
2004-10-22,338
2004-10-29,332
2004-11-05,330
2004-11-12,337
2004-11-19,313
2004-11-26,335
2004-12-03,343
2004-12-10,316
2004-12-17,322
2004-12-24,320
2004-12-31,356
2005-01-07,369
2005-01-14,332
2005-01-21,329
2005-01-28,331
2005-02-04,307
2005-02-11,308
2005-02-18,318
2005-02-25,314
2005-03-04,333
2005-03-11,324
2005-03-18,329
2005-03-25,342
2005-04-01,335
2005-04-08,323
2005-04-15,307
2005-04-22,317
2005-04-29,334
2005-05-06,327
2005-05-13,321
2005-05-20,320
2005-05-27,340
2005-06-03,338
2005-06-10,333
2005-06-17,321
2005-06-24,311
2005-07-01,327
2005-07-08,338
2005-07-15,323
2005-07-22,318
2005-07-29,316
2005-08-05,311
