Dates,BCOMTR Index_Last,BCOMTR Index_Open,BCOMTR Index_High,BCOMTR Index_Low
1993-08-20,99.835,99.835,99.835,99.835
1993-08-23,100.328,100.328,100.328,100.328
1993-08-24,100.015,100.015,100.015,100.015
1993-08-25,99.849,99.849,99.849,99.849
1993-08-26,99.554,99.554,99.554,99.554
1993-08-27,100.621,100.621,100.621,100.621
1993-08-30,100.662,100.662,100.662,100.662
1993-08-31,99.871,99.871,99.871,99.871
1993-09-01,98.968,98.968,98.968,98.968
1993-09-02,99.056,99.056,99.056,99.056
1993-09-03,98.887,98.887,98.887,98.887
1993-09-06,98.887,98.887,98.887,98.887
1993-09-07,96.746,96.746,96.746,96.746
1993-09-08,96.892,96.892,96.892,96.892
1993-09-09,96.801,96.801,96.801,96.801
1993-09-10,95.946,95.946,95.946,95.946
1993-09-13,96.09,96.09,96.09,96.09
1993-09-14,95.777,95.777,95.777,95.777
1993-09-15,95.805,95.805,95.805,95.805
1993-09-16,95.836,95.836,95.836,95.836
1993-09-17,96.431,96.431,96.431,96.431
1993-09-20,97.168,97.168,97.168,97.168
1993-09-21,97.266,97.266,97.266,97.266
1993-09-22,96.537,96.537,96.537,96.537
1993-09-23,97.324,97.324,97.324,97.324
1993-09-24,97.207,97.207,97.207,97.207
1993-09-27,96.559,96.559,96.559,96.559
1993-09-28,96.629,96.629,96.629,96.629
1993-09-29,97.221,97.221,97.221,97.221
1993-09-30,97.54,97.54,97.54,97.54
1993-10-01,97.303,97.303,97.303,97.303
1993-10-04,96.527,96.527,96.527,96.527
1993-10-05,96.379,96.379,96.379,96.379
1993-10-06,96.664,96.664,96.664,96.664
1993-10-07,96.843,96.843,96.843,96.843
1993-10-08,97.213,97.213,97.213,97.213
1993-10-11,97.213,97.213,97.213,97.213
1993-10-12,97.965,97.965,97.965,97.965
1993-10-13,98.111,98.111,98.111,98.111
1993-10-14,97.7,97.7,97.7,97.7
1993-10-15,97.599,97.599,97.599,97.599
1993-10-18,97.516,97.516,97.516,97.516
1993-10-19,97.555,97.555,97.555,97.555
1993-10-20,97.786,97.786,97.786,97.786
1993-10-21,98.149,98.149,98.149,98.149
1993-10-22,97.512,97.512,97.512,97.512
1993-10-25,96.84,96.84,96.84,96.84
1993-10-26,96.35,96.35,96.35,96.35
1993-10-27,96.924,96.924,96.924,96.924
1993-10-28,96.53,96.53,96.53,96.53
1993-10-29,96.335,96.335,96.335,96.335
1993-11-01,96.535,96.535,96.535,96.535
1993-11-02,96.402,96.402,96.402,96.402
1993-11-03,96.856,96.856,96.856,96.856
1993-11-04,97.263,97.263,97.263,97.263
1993-11-05,97.304,97.304,97.304,97.304
1993-11-08,96.294,96.294,96.294,96.294
1993-11-09,96.141,96.141,96.141,96.141
1993-11-10,97.14,97.14,97.14,97.14
1993-11-11,97.14,97.14,97.14,97.14
1993-11-12,97.311,97.311,97.311,97.311
1993-11-15,97.749,97.749,97.749,97.749
1993-11-16,97.539,97.539,97.539,97.539
1993-11-17,98.564,98.564,98.564,98.564
1993-11-18,98.447,98.447,98.447,98.447
1993-11-19,98.64,98.64,98.64,98.64
1993-11-22,98.683,98.683,98.683,98.683
1993-11-23,97.771,97.771,97.771,97.771
1993-11-24,97.637,97.637,97.637,97.637
1993-11-25,97.637,97.637,97.637,97.637
1993-11-26,97.061,97.061,97.061,97.061
1993-11-29,95.821,95.821,95.821,95.821
1993-11-30,95.306,95.306,95.306,95.306
1993-12-01,95.934,95.934,95.934,95.934
1993-12-02,95.363,95.363,95.363,95.363
1993-12-03,95.941,95.941,95.941,95.941
1993-12-06,95.188,95.188,95.188,95.188
1993-12-07,95.894,95.894,95.894,95.894
1993-12-08,95.835,95.835,95.835,95.835
1993-12-09,95.622,95.622,95.622,95.622
1993-12-10,96.776,96.776,96.776,96.776
1993-12-13,96.194,96.194,96.194,96.194
1993-12-14,96.404,96.404,96.404,96.404
1993-12-15,96.101,96.101,96.101,96.101
1993-12-16,95.997,95.997,95.997,95.997
1993-12-17,96.107,96.107,96.107,96.107
1993-12-20,96.159,96.159,96.159,96.159
1993-12-21,95.653,95.653,95.653,95.653
1993-12-22,96.183,96.183,96.183,96.183
1993-12-23,96.171,96.171,96.171,96.171
1993-12-24,96.171,96.171,96.171,96.171
1993-12-27,96.487,96.487,96.487,96.487
1993-12-28,96.362,96.362,96.362,96.362
1993-12-29,96.968,96.968,96.968,96.968
1993-12-30,96.645,96.645,96.645,96.645
1993-12-31,96.694,96.694,96.694,96.694
1994-01-03,96.887,96.887,96.887,96.887
1994-01-04,96.968,96.968,96.968,96.968
1994-01-05,97.998,97.998,97.998,97.998
1994-01-06,98.265,98.265,98.265,98.265
1994-01-07,98.002,98.002,98.002,98.002
1994-01-10,97.14,97.14,97.14,97.14
1994-01-11,97.932,97.932,97.932,97.932
1994-01-12,97.527,97.527,97.527,97.527
1994-01-13,98.48,98.48,98.48,98.48
1994-01-14,99.567,99.567,99.567,99.567
1994-01-17,99.567,99.567,99.567,99.567
1994-01-18,99.366,99.366,99.366,99.366
1994-01-19,99.126,99.126,99.126,99.126
1994-01-20,98.595,98.595,98.595,98.595
1994-01-21,98.508,98.508,98.508,98.508
1994-01-24,99.403,99.403,99.403,99.403
1994-01-25,99.441,99.441,99.441,99.441
1994-01-26,100.476,100.476,100.476,100.476
1994-01-27,100.15,100.15,100.15,100.15
1994-01-28,100.016,100.016,100.016,100.016
1994-01-31,100.274,100.274,100.274,100.274
1994-02-01,102.064,102.064,102.064,102.064
1994-02-02,102.652,102.652,102.652,102.652
1994-02-03,102.072,102.072,102.072,102.072
1994-02-04,101.361,101.361,101.361,101.361
1994-02-07,100.305,100.305,100.305,100.305
1994-02-08,100.383,100.383,100.383,100.383
1994-02-09,99.728,99.728,99.728,99.728
1994-02-10,99.574,99.574,99.574,99.574
1994-02-11,99.619,99.619,99.619,99.619
1994-02-14,99.057,99.057,99.057,99.057
1994-02-15,98.896,98.896,98.896,98.896
1994-02-16,99.039,99.039,99.039,99.039
1994-02-17,99.208,99.208,99.208,99.208
1994-02-18,99.045,99.045,99.045,99.045
1994-02-21,99.045,99.045,99.045,99.045
1994-02-22,99.476,99.476,99.476,99.476
1994-02-23,99.331,99.331,99.331,99.331
1994-02-24,100.072,100.072,100.072,100.072
1994-02-25,99.755,99.755,99.755,99.755
1994-02-28,99.498,99.498,99.498,99.498
1994-03-01,99.456,99.456,99.456,99.456
1994-03-02,99.134,99.134,99.134,99.134
1994-03-03,98.766,98.766,98.766,98.766
1994-03-04,99.12,99.12,99.12,99.12
1994-03-07,98.196,98.196,98.196,98.196
1994-03-08,98.035,98.035,98.035,98.035
1994-03-09,98.302,98.302,98.302,98.302
1994-03-10,98.515,98.515,98.515,98.515
1994-03-11,99.08,99.08,99.08,99.08
1994-03-14,99.494,99.494,99.494,99.494
1994-03-15,100.137,100.137,100.137,100.137
1994-03-16,100.944,100.944,100.944,100.944
1994-03-17,100.303,100.303,100.303,100.303
1994-03-18,100.637,100.637,100.637,100.637
1994-03-21,100.654,100.654,100.654,100.654
1994-03-22,100.869,100.869,100.869,100.869
1994-03-23,100.83,100.83,100.83,100.83
1994-03-24,100.878,100.878,100.878,100.878
1994-03-25,101.005,101.005,101.005,101.005
1994-03-28,99.117,99.117,99.117,99.117
1994-03-29,99.072,99.072,99.072,99.072
1994-03-30,98.904,98.904,98.904,98.904
1994-03-31,99.717,99.717,99.717,99.717
1994-04-01,99.717,99.717,99.717,99.717
1994-04-04,100.596,100.596,100.596,100.596
1994-04-05,99.954,99.954,99.954,99.954
1994-04-06,100.244,100.244,100.244,100.244
1994-04-07,99.828,99.828,99.828,99.828
1994-04-08,99.674,99.674,99.674,99.674
1994-04-11,99.564,99.564,99.564,99.564
1994-04-12,99.588,99.588,99.588,99.588
1994-04-13,99.818,99.818,99.818,99.818
1994-04-14,100.005,100.005,100.005,100.005
